PFMEA_ID,Process_Step_No,Process_Step_Name,Function_ID,Process_Function,Failure_Mode,Failure_Effect_Customer,Failure_Cause,Prevention_Control,Detection_Control,Severity_S,Occurrence_O,Detection_D,Action_Priority_AP,SC_CC_Flag,Recommended_Action
FM-001,P-010,Electrode Coating,F-001,Apply anode slurry uniformly onto copper foil to achieve target coating weight,Coating weight below specification,Insufficient active material — reduced cell capacity — customer gets low energy density cell,Slurry viscosity out of range / pump pressure deviation,Viscosity check every 2 hours — slurry batch control,Inline basis weight measurement (beta gauge),8,4,6,H,SC,Implement SPC on coating weight — reduce measurement interval to every 30 min
FM-002,P-010,Electrode Coating,F-002,Apply anode slurry uniformly onto copper foil to achieve target coating weight,Coating weight above specification,Excess active material — risk of lithium plating — internal short circuit — safety hazard,Pump overpressure — recipe parameter drift,Pump pressure monitoring — recipe lock,Inline basis weight measurement (beta gauge),9,3,5,H,CC,Add automated line stop trigger if coating weight exceeds +3% of nominal
FM-003,P-010,Electrode Coating,F-003,Remove NMP solvent completely during drying to meet residual solvent specification,NMP residual above specification,Electrolyte contamination — degraded SEI layer — cycle life reduction — customer warranty claim,Oven temperature too low — drying speed too fast — insufficient dwell time,Oven temperature profile validation — speed interlocks,Offline NMP residual measurement per lot (GC analysis),9,3,8,H,CC,Increase NMP measurement frequency — implement at-line FTIR for faster feedback
FM-004,P-010,Electrode Coating,F-004,Maintain coating edge position within tolerance to ensure correct electrode geometry,Edge position deviation — coating too close to foil edge,Risk of short circuit at cell assembly — safety,Web guide sensor failure — foil tension variation,Web guide auto-correction system — tension control,Camera vision system inline,8,4,5,H,SC,Validate web guide response time — add redundant edge detection sensor
FM-005,P-010,Electrode Coating,F-005,Maintain coating edge position within tolerance to ensure correct electrode geometry,Coating stripe missing on foil section,Zero active material in that section — dead zone in cell — capacity loss,Slurry supply interruption — clog in slot die,Slurry level alarm — die pressure monitoring,Inline camera — basis weight scan,7,2,6,M,SC,Add die pressure drop alarm with automatic line pause
FM-006,P-020,Calendering,F-006,Compress coated electrode to target thickness and porosity for optimal ion transport,Electrode thickness above target (insufficient compression),High porosity — poor ion transport — reduced rate capability — customer sees poor fast-charge performance,Roll gap set incorrectly — coating weight variation feeding into calender,Roll gap SPC — load cell monitoring,Inline thickness gauge (laser),7,5,4,M,SC,Tighten roll gap control tolerance — link to upstream coating weight data
FM-007,P-020,Calendering,F-007,Compress coated electrode to target thickness and porosity for optimal ion transport,Electrode thickness below target (over-compression),Cracked active material — delamination risk — reduced cycle life,Excessive roll force — incorrect recipe,Roll force limit alarm — recipe lock,Inline thickness gauge — visual inspection sampling,8,3,5,H,SC,Add automatic force rollback if thickness goes below lower spec limit
FM-008,P-020,Calendering,F-008,Maintain electrode surface quality free from defects during compression,Coating delamination from current collector,Active material loss — capacity fade — potential internal contamination,Poor adhesion from coating step — surface contamination on foil,Adhesion peel test on coated rolls before calendering,Visual inspection — adhesion test sampling,8,3,7,H,SC,Add mandatory adhesion check before each calendering roll — SPC on peel strength
FM-009,P-030,Slitting,F-009,Cut electrodes to precise width specification for cell assembly,Electrode width out of tolerance — too narrow,Insufficient active area — reduced capacity — customer complaint,Blade wear — blade misalignment — foil tension variation,Blade replacement schedule — alignment check at setup,Inline width measurement — first article inspection,7,4,5,M,SC,Implement blade wear monitoring — width SPC with 2-hour measurement interval
FM-010,P-030,Slitting,F-010,Cut electrodes to precise width specification for cell assembly,Burr height above specification on cut edge,Risk of separator puncture — internal short circuit — thermal runaway — safety,Blade wear — incorrect blade gap — excessive cutting speed,Blade gap validation at setup — speed limits,Burr height measurement sampling (contact profilometer),9,4,6,H,CC,100% inline burr detection — reduce blade replacement interval — add burr vision system
FM-011,P-030,Slitting,F-011,Ensure electrode tab position is correct for welding in later process,Tab position out of tolerance,Incorrect tab welding position — poor electrical connection — high resistance — cell performance loss,Incorrect slitting die setup — foil registration error,Setup verification checklist — first article tab position check,Tab position measurement — CMM check on samples,7,3,6,M,SC,Add vision-based tab position verification inline after slitting
FM-012,P-040,Tab Welding,F-012,Weld electrode tabs to current collector with sufficient mechanical and electrical quality,Weld tensile strength below specification,Tab detachment during cell assembly or in field — open circuit — total cell failure — safety,Incorrect welding parameters — contaminated surface — wrong pressure,Welding parameter recipe lock — surface cleanliness protocol,100% pull test on welded tabs — weld visual inspection,9,3,4,H,CC,Validate welding parameters with DOE — add 100% pull test with automatic rejection
FM-013,P-040,Tab Welding,F-013,Weld electrode tabs to current collector with sufficient mechanical and electrical quality,Weld electrical resistance above specification,Increased cell internal resistance — reduced power output — heat generation at tab — customer sees capacity fade,Insufficient weld nuggets — surface oxide layer,Resistance measurement protocol — surface prep validation,100% resistance measurement inline,8,4,3,M,SC,SPC on weld resistance — correlate with pull test results
FM-014,P-040,Tab Welding,F-014,Prevent metal particles or spatter during tab welding,Weld spatter particles present on electrode,Potential internal short circuit — separator damage — thermal runaway risk — safety,Incorrect laser parameters — no spatter shield,Spatter shield in place — parameter validation,Visual inspection — particle tape test sampling,9,4,7,H,CC,Add post-weld particle inspection station — vacuum extraction upgrade — 100% vision check
FM-015,P-050,Cell Winding / Stacking,F-015,Align anode and cathode with correct overhang to prevent lithium plating,Anode overhang insufficient — cathode extends beyond anode,Lithium plating on cathode edge — dendrite formation — internal short — thermal runaway — safety,Electrode width deviation from slitting — alignment error in winding,Electrode width SPC from slitting — winding alignment setup,Vision system — X-ray sampling of wound cells,10,3,6,H,CC,100% inline vision overhang check — link to slitting width SPC data
FM-016,P-050,Cell Winding / Stacking,F-016,Maintain separator integrity during winding to prevent direct electrode contact,Separator fold or wrinkle during winding,Direct electrode contact — short circuit — thermal runaway — safety,Separator tension variation — winding speed too high — separator defect from incoming,Separator tension control — incoming inspection,Vision system inline — electrical short test after winding,10,3,5,H,CC,Add separator tension SPC — mandatory incoming separator inspection protocol
FM-017,P-050,Cell Winding / Stacking,F-017,Maintain separator integrity during winding to prevent direct electrode contact,Separator micro-hole or pinhole,Delayed short circuit — field failure — safety recall risk,Incoming separator defect — handling damage,Incoming inspection — handling protocol,Electrical short test after winding — hi-pot test,10,2,7,H,CC,Incoming 100% pinhole detection — add hi-pot test 100% after winding
FM-018,P-060,Electrolyte Filling,F-018,Fill cell with precise electrolyte volume to specification,Electrolyte fill weight below specification,Insufficient wetting of electrodes — reduced capacity — poor cycle life — customer dissatisfied,Dispenser calibration drift — blockage in fill needle — short fill time,Dispenser calibration check every shift — needle inspection,Gravimetric inline measurement 100%,8,4,4,M,SC,SPC on fill weight — automatic rejection if below lower spec
FM-019,P-060,Electrolyte Filling,F-019,Fill cell with precise electrolyte volume to specification,Electrolyte fill weight above specification,Overpressure in cell — risk of electrolyte leakage — safety concern,Dispenser overshoot — incorrect recipe,Recipe lock — dispenser pressure alarm,Gravimetric inline measurement 100%,8,3,4,M,SC,Add upper spec limit auto-stop on dispenser
FM-020,P-060,Electrolyte Filling,F-020,Seal cell completely after electrolyte filling to prevent leakage,Cell sealing integrity failure — electrolyte leakage,Electrolyte leak — chemical hazard — safety — environmental contamination — customer return,Sealing jaw temperature deviation — contamination on sealing area — incorrect pressure,Sealing jaw temperature SPC — sealing area cleanliness protocol,100% helium leak test after sealing,10,3,4,H,CC,Validate sealing jaw parameters — 100% helium leak test mandatory — add SPC on jaw temperature
FM-021,P-060,Electrolyte Filling,F-021,Control moisture level during electrolyte filling in dry room environment,Moisture ingress during filling — dew point too high in dry room,HF formation from electrolyte reaction with moisture — cell degradation — safety — short service life,Dry room dew point control failure — door open event — personnel entry,Continuous dew point monitoring — entry protocol,Dew point alarm — cell moisture sampling (Karl Fischer),9,3,6,H,CC,Real-time dew point interlock — automatic line pause if dew point exceeds limit
FM-022,P-070,Formation and Aging,F-022,Perform initial charge/discharge cycles within specified voltage and current profile,Formation voltage profile deviation — overvoltage,Electrolyte decomposition — gas generation — cell swelling — safety risk,Formation charger malfunction — incorrect recipe — communication error,Recipe validation — charger calibration,100% voltage monitoring during formation — end-of-formation OCV check,9,3,4,H,CC,Add independent voltage monitoring — charger self-test before each batch — recipe lock
FM-023,P-070,Formation and Aging,F-023,Perform initial charge/discharge cycles within specified voltage and current profile,Formation temperature out of specification during cycling,Poor SEI layer quality — reduced cycle life — customer sees early capacity fade,Temperature chamber failure — cell self-heating not managed,Chamber temperature SPC — cell temperature monitoring,Thermocouple monitoring — end-of-test capacity check,8,3,5,H,SC,SPC on chamber temperature — add cell skin temperature monitoring during formation
FM-024,P-070,Formation and Aging,F-024,Measure and classify cells by capacity and internal resistance after formation,Capacity below specification minimum,Cell does not meet product specification — must be scrapped or downgraded — yield loss,Formation deviation — electrode defect — electrolyte underfill,End-of-line capacity test 100%,100% capacity test — grading,7,5,3,M,,Correlate with upstream process parameters — root cause analysis protocol
FM-025,P-070,Formation and Aging,F-025,Verify self-discharge rate is within specification during aging period,Self-discharge rate above specification,Cell loses charge in storage or field — customer complaint — warranty claim — field return,Internal micro-short — contamination — separator defect,Hi-pot test after winding — particle control,OCV measurement before and after aging — delta OCV calculation 100%,8,3,5,H,SC,SPC on delta OCV — flag high self-discharge cells for teardown analysis
